Year,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance
2017_2018,1,15,38,32,4,2,106,27,79,100,2.63,86.4,22.8,63.6,1.67,54070
2017_2018,2,16,38,25,6,7,68,28,40,81,2.13,60.7,41.7,18.9,0.5,74976
2017_2018,3,23,38,23,8,7,74,36,38,77,2.03,67.3,35.0,32.3,0.85,67953
2017_2018,4,14,38,21,12,5,84,38,46,75,1.97,72.8,34.0,38.8,1.02,53049
2017_2018,5,7,38,21,7,10,62,38,24,70,1.84,57.9,35.3,22.7,0.6,41282
2017_2018,6,0,38,19,6,13,74,51,23,63,1.66,68.4,50.5,17.9,0.47,59323
2017_2018,7,5,38,14,12,12,36,39,-3,54,1.42,34.5,51.8,-17.2,-0.45,20688
2017_2018,8,9,38,13,10,15,44,58,-14,49,1.29,41.4,52.2,-10.8,-0.28,38797
2017_2018,9,13,38,12,11,15,56,60,-4,47,1.24,48.1,49.9,-1.8,-0.05,31583
2017_2018,10,17,38,12,8,18,39,47,-8,44,1.16,45.3,53.4,-8.1,-0.21,51992
2017_2018,11,8,38,11,11,16,45,55,-10,44,1.16,56.1,50.6,5.5,0.14,25063
2017_2018,12,2,38,11,11,16,45,61,-16,44,1.16,44.8,61.4,-16.6,-0.44,10641
2017_2018,13,26,38,10,12,16,48,68,-20,42,1.11,39.8,59.3,-19.4,-0.51,56885
2017_2018,14,24,38,11,8,19,44,64,-20,41,1.08,47.4,57.9,-10.6,-0.28,20231
2017_2018,15,4,38,9,13,16,34,54,-20,40,1.05,37.2,52.6,-15.5,-0.41,30403
2017_2018,16,11,38,9,10,19,28,58,-30,37,0.97,31.7,55.2,-23.5,-0.62,24040
2017_2018,17,20,38,7,15,16,37,56,-19,36,0.95,42.1,48.8,-6.7,-0.18,30794
2017_2018,18,22,38,8,9,21,28,56,-28,33,0.87,30.5,59.5,-29.0,-0.76,20623
2017_2018,19,21,38,7,12,19,35,68,-33,33,0.87,37.5,63.8,-26.2,-0.69,29280
2017_2018,20,25,38,6,13,19,31,56,-25,31,0.82,34.3,48.5,-14.1,-0.37,24520
2018_2019,1,15,38,32,2,4,95,23,72,98,2.58,84.6,25.1,59.5,1.57,54130
