year,rank,squad_name,mp,wins,draws,losses,gf,ga,gd,total_points,points_per_match,xg,xga,xgd,xgd_per_90,performance_indicator
2017_2018,1,Manchester City,38,32,4,2,106,27,79,100,2.63,86.40,22.80,63.60,1.67,15.40
2017_2018,2,Manchester Utd,38,25,6,7,68,28,40,81,2.13,60.70,41.70,18.90,0.50,21.10
2017_2018,3,Tottenham,38,23,8,7,74,36,38,77,2.03,67.30,35.00,32.30,0.85,5.70
2017_2018,4,Liverpool,38,21,12,5,84,38,46,75,1.97,72.80,34.00,38.80,1.02,7.20
2017_2018,5,Chelsea,38,21,7,10,62,38,24,70,1.84,57.90,35.30,22.70,0.60,1.30
2017_2018,6,Arsenal,38,19,6,13,74,51,23,63,1.66,68.40,50.50,17.90,0.47,5.10
2017_2018,7,Burnley,38,14,12,12,36,39,-3,54,1.42,34.50,51.80,-17.20,-0.45,14.20
2017_2018,8,Everton,38,13,10,15,44,58,-14,49,1.29,41.40,52.20,-10.80,-0.28,-3.20
2017_2018,9,Leicester City,38,12,11,15,56,60,-4,47,1.24,48.10,49.90,-1.80,-0.05,-2.20
2017_2018,10,Newcastle Utd,38,12,8,18,39,47,-8,44,1.16,45.30,53.40,-8.10,-0.21,0.10
2017_2018,11,Crystal Palace,38,11,11,16,45,55,-10,44,1.16,56.10,50.60,5.50,0.14,-15.50
2017_2018,12,Bournemouth,38,11,11,16,45,61,-16,44,1.16,44.80,61.40,-16.60,-0.44,0.60
2017_2018,13,West Ham,38,10,12,16,48,68,-20,42,1.11,39.80,59.30,-19.40,-0.51,-0.60
2017_2018,14,Watford,38,11,8,19,44,64,-20,41,1.08,47.40,57.90,-10.60,-0.28,-9.40
2017_2018,15,Brighton,38,9,13,16,34,54,-20,40,1.05,37.20,52.60,-15.50,-0.41,-4.50
2017_2018,16,Huddersfield,38,9,10,19,28,58,-30,37,0.97,31.70,55.20,-23.50,-0.62,-6.50
2017_2018,17,Southampton,38,7,15,16,37,56,-19,36,0.95,42.10,48.80,-6.70,-0.18,-12.30
2017_2018,18,Swansea City,38,8,9,21,28,56,-28,33,0.87,30.50,59.50,-29.00,-0.76,1.00
2017_2018,19,Stoke City,38,7,12,19,35,68,-33,33,0.87,37.50,63.80,-26.20,-0.69,-6.80
2017_2018,20,West Brom,38,6,13,19,31,56,-25,31,0.82,34.30,48.50,-14.10,-0.37,-10.90
2018_2019,1,Manchester City,38,32,2,4,95,23,72,98,2.58,84.60,25.10,59.50,1.57,12.50
2018_2019,2,Liverpool,38,30,7,1,89,22,67,97,2.55,75.40,31.00,44.40,1.17,22.60
2018_2019,3,Chelsea,38,21,9,8,63,39,24,72,1.89,58.90,35.70,23.20,0.61,0.80
2018_2019,4,Tottenham,38,23,2,13,67,39,28,71,1.87,58.50,45.90,12.70,0.33,15.30
2018_2019,5,Arsenal,38,21,7,10,73,51,22,70,1.84,59.00,54.10,4.90,0.13,17.10
2018_2019,6,Manchester Utd,38,19,9,10,65,54,11,66,1.74,58.80,46.20,12.60,0.33,-1.60
2018_2019,7,Wolves,38,16,9,13,47,46,1,57,1.50,48.20,38.70,9.50,0.25,-8.50
2018_2019,8,Everton,38,15,9,14,54,46,8,54,1.42,48.30,47.50,0.80,0.02,7.20
2018_2019,9,Leicester City,38,15,7,16,51,48,3,52,1.37,49.50,45.40,4.10,0.11,-1.10
2018_2019,10,West Ham,38,15,7,16,52,55,-3,52,1.37,47.70,60.90,-13.20,-0.35,10.20
2018_2019,11,Watford,38,14,8,16,52,59,-7,50,1.32,47.50,54.60,-7.10,-0.19,0.10
2018_2019,12,Crystal Palace,38,14,7,17,51,53,-2,49,1.29,50.40,48.60,1.80,0.05,-3.80
2018_2019,13,Newcastle Utd,38,12,9,17,42,48,-6,45,1.18,38.80,52.80,-14.00,-0.37,8.00
2018_2019,14,Bournemouth,38,13,6,19,56,70,-14,45,1.18,54.10,55.80,-1.70,-0.04,-12.30
2018_2019,15,Burnley,38,11,7,20,45,68,-23,40,1.05,40.80,64.20,-23.40,-0.61,0.40
2018_2019,16,Southampton,38,9,12,17,45,65,-20,39,1.03,47.50,55.70,-8.20,-0.22,-11.80
2018_2019,17,Brighton,38,9,9,20,35,60,-25,36,0.95,34.30,56.20,-21.80,-0.57,-3.20
2018_2019,18,Cardiff City,38,10,4,24,34,69,-35,34,0.89,39.40,62.40,-23.10,-0.61,-11.90
2018_2019,19,Fulham,38,7,5,26,34,81,-47,26,0.68,38.80,66.50,-27.70,-0.73,-19.30
2018_2019,20,Huddersfield,38,3,7,28,22,76,-54,16,0.42,29.50,62.90,-33.50,-0.88,-20.50
2019_2020,1,Liverpool,38,32,3,3,85,33,52,99,2.61,71.50,40.00,31.50,0.83,20.50
2019_2020,2,Manchester City,38,26,3,9,102,35,67,81,2.13,93.10,34.80,58.30,1.54,8.70
2019_2020,3,Manchester Utd,38,18,12,8,66,36,30,66,1.74,59.40,37.40,22.00,0.58,8.00
2019_2020,4,Chelsea,38,20,6,12,69,54,15,66,1.74,66.60,37.80,28.70,0.76,-13.70
2019_2020,5,Leicester City,38,18,8,12,67,41,26,62,1.63,61.60,44.50,17.10,0.45,8.90
2019_2020,6,Tottenham,38,16,11,11,61,47,14,59,1.55,46.10,52.00,-6.00,-0.16,20.00
2019_2020,7,Wolves,38,15,14,9,51,40,11,59,1.55,47.10,34.80,12.30,0.32,-1.30
2019_2020,8,Arsenal,38,14,14,10,56,48,8,56,1.47,49.20,56.60,-7.30,-0.19,15.30
2019_2020,9,Sheffield Utd,38,14,12,12,39,39,0,54,1.42,41.50,47.90,-6.40,-0.17,6.40
2019_2020,10,Burnley,38,15,9,14,43,50,-7,54,1.42,43.90,48.20,-4.30,-0.11,-2.70
2019_2020,11,Southampton,38,15,7,16,51,60,-9,52,1.37,53.70,53.10,0.70,0.02,-9.70
